coduf;Regiao;Estado;Nome_Estado;populacaoTCU2019;PIB;PIB Per Capita
12;Norte;AC;Acre;881935;14271000;1720195
27;Nordeste;AL;Alagoas;3337357;52843000;1565351
13;Norte;AM;Amazonas;4144597;93204000;2293628
16;Norte;AP;Amapá;845731;15480000;1940511
29;Nordeste;BA;Bahia;14873064;268661000;1750867
23;Nordeste;CE;Ceará;9132078;147890000;1639499
53;Centro-Oeste;DF;Distrito Federal;3015268;244683000;8050247
32;Sudeste;ES;Espírito Santo;4018650;113352000;2822256
52;Centro-Oeste;GO;Goiás;7018354;191899000;2830877
21;Nordeste;MA;Maranhão;7075181;89524000;1278875
31;Sudeste;MG;Minas Gerais;21168791;576199000;2728275
50;Centro-Oeste;MS;Mato Grosso do Sul;2778986;96372000;3552045
51;Centro-Oeste;MT;Mato Grosso;3484466;126805000;37914
15;Norte;PA;Pará;8602865;155195000;1854933
25;Nordeste;PB;Paraíba;4018127;62387000;1549767
26;Nordeste;PE;Pernambuco;9557071;181551000;1916452
22;Nordeste;PI;Piauí;3273227;45359000;1408978
41;Sul;PR;Paraná;11433957;421375000;37221
33;Sudeste;RJ;Rio de Janeiro;17264943;671362000;4015576
24;Nordeste;RN;Rio Grande do Norte;3506853;64295000;1833319
11;Norte;RO;Rondônia;1777225;43506000;2409281
14;Norte;RR;Roraima;605761;12103000;2315806
43;Sul;RS;Rio Grande do Sul;11377239;423151000;3737127
42;Sul;SC;Santa Catarina;7164788;277192000;3959228
28;Nordeste;SE;Sergipe;2298696;40704000;1778921
35;Sudeste;SP;São Paulo;45919049;2119854000;4700877
17;Norte;TO;Tocantins;1572866;34102000;2199834
